,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,3907,1,1.314,0.001779,0.177,1.083,0.058
1,256,3907,4,1.283,0.001637,0.143,1.091,0.023
2,256,3907,8,1.279,0.001676,0.136,1.097,0.017
3,256,3907,16,1.268,0.001687,0.137,1.08,0.016
4,512,1954,1,1.309,0.001784,0.18,1.084,0.058
5,512,1954,4,1.276,0.001628,0.143,1.085,0.023
6,512,1954,8,1.277,0.001711,0.134,1.099,0.017
7,512,1954,16,1.272,0.001692,0.132,1.083,0.016
8,1024,977,1,1.314,0.001887,0.18,1.08,0.058
9,1024,977,4,1.275,0.001621,0.143,1.084,0.023
10,1024,977,8,1.271,0.001639,0.136,1.081,0.017
11,1024,977,16,1.265,0.001719,0.135,1.084,0.017
