,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,391,1,0.168,0.000571,0.112,0.054,0.002
1,256,391,4,0.169,0.000532,0.111,0.055,0.001
2,256,391,8,0.167,0.000538,0.109,0.055,0.001
3,256,391,16,0.164,0.000556,0.107,0.055,0.001
4,512,196,1,0.169,0.0006,0.114,0.054,0.002
5,512,196,4,0.167,0.00053,0.11,0.055,0.001
6,512,196,8,0.167,0.000534,0.109,0.055,0.001
7,512,196,16,0.166,0.000524,0.107,0.055,0.0
8,1024,98,1,0.17,0.00058,0.112,0.055,0.002
9,1024,98,4,0.168,0.000516,0.111,0.055,0.001
10,1024,98,8,0.167,0.000534,0.109,0.055,0.001
11,1024,98,16,0.165,0.00054,0.11,0.054,0.001
