,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.076667,0.000275,0.02033,0.052122,0.002419
1,1,4,0.076112,0.00027,0.020252,0.052235,0.0018
2,1,8,0.076102,0.000263,0.020307,0.052147,0.001613
3,1,16,0.077023,0.000261,0.020234,0.052353,0.00238
4,2,1,0.080259,0.000789,0.023208,0.052244,0.002379
5,2,4,0.07988,0.000754,0.02355,0.052096,0.001718
6,2,8,0.079943,0.000708,0.0232,0.052078,0.001744
7,2,16,0.080431,0.000654,0.023164,0.052065,0.002396
8,4,1,0.082272,0.001346,0.024189,0.052201,0.002391
9,4,4,0.080871,0.001463,0.023416,0.052174,0.001485
10,4,8,0.081738,0.001285,0.023544,0.052367,0.001614
11,4,16,0.082091,0.001028,0.024145,0.052112,0.001925
12,6,1,0.087659,0.002314,0.027838,0.052337,0.002397
13,6,4,0.085989,0.00256,0.025855,0.052468,0.001666
14,6,8,0.085323,0.002676,0.025341,0.0531,0.001764
15,6,16,0.085667,0.002027,0.025955,0.052456,0.00244
16,8,1,0.095829,0.003812,0.031993,0.052469,0.002343
17,8,4,0.096657,0.003916,0.032725,0.05283,0.001687
18,8,8,0.09608,0.00252,0.032644,0.052081,0.001671
19,8,16,0.095405,0.002641,0.023613,0.05262,0.001532
