,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.020385,4e-05,0.016046,0.004026,0.000151
1,1,4,0.020668,4.1e-05,0.01608,0.003928,0.000313
2,1,8,0.020734,4e-05,0.016117,0.003924,0.000376
3,1,16,0.021284,4.1e-05,0.016046,0.003956,0.00078
4,2,1,0.021399,0.000263,0.016784,0.004004,0.000152
5,2,4,0.021624,0.000306,0.016569,0.004026,0.000307
6,2,8,0.021784,0.000224,0.016685,0.004019,0.000356
7,2,16,0.022398,0.000298,0.016587,0.004021,0.000972
8,4,1,0.022038,0.000514,0.017082,0.003994,0.000151
9,4,4,0.021791,0.000492,0.016327,0.004024,0.000269
10,4,8,0.021612,0.00047,0.016555,0.004013,0.000376
11,4,16,0.022422,0.000542,0.016769,0.004021,0.000636
12,6,1,0.028288,0.000755,0.021473,0.004028,0.000156
13,6,4,0.029055,0.000983,0.021795,0.004018,0.000272
14,6,8,0.027821,0.000749,0.021456,0.004028,0.000371
15,6,16,0.028727,0.000743,0.021559,0.004004,0.0006
16,8,1,0.030095,0.002058,0.023249,0.004006,0.000152
17,8,4,0.030767,0.00286,0.021997,0.004009,0.000267
18,8,8,0.030928,0.001903,0.022242,0.00403,0.000388
19,8,16,0.030659,0.002163,0.020438,0.004007,0.000601
