,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,1.141666,0.001232,0.024274,1.021282,0.060528
1,1,4,1.103102,0.001222,0.024127,1.019963,0.023708
2,1,8,1.099386,0.001235,0.024266,1.02187,0.01828
3,1,16,1.097563,0.001244,0.0243,1.019184,0.017723
4,2,1,1.142843,0.002285,0.029954,1.014796,0.060217
5,2,4,1.111575,0.002192,0.027993,1.019559,0.02359
6,2,8,1.103809,0.00216,0.0287,1.01672,0.018311
7,2,16,1.096407,0.002222,0.030282,1.012145,0.01826
8,4,1,1.160827,0.003762,0.031778,1.024672,0.060138
9,4,4,1.116744,0.003577,0.03071,1.022435,0.023858
10,4,8,1.122271,0.003863,0.035685,1.027149,0.01836
11,4,16,1.122317,0.003842,0.03663,1.026521,0.018174
12,6,1,1.160691,0.004595,0.033887,1.024001,0.059807
13,6,4,1.115811,0.004766,0.029231,1.020136,0.023773
14,6,8,1.116723,0.004727,0.030494,1.02276,0.018421
15,6,16,1.11617,0.005144,0.032496,1.024437,0.018014
16,8,1,1.171149,0.010764,0.034438,1.022634,0.059877
17,8,4,1.13525,0.010103,0.035413,1.023346,0.023745
18,8,8,1.127307,0.010199,0.038721,1.01914,0.018353
19,8,16,1.130348,0.010907,0.036975,1.025829,0.01797
