,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.022129,3.9e-05,0.016699,0.005032,0.000201
1,1,4,0.02237,4e-05,0.016706,0.004907,0.000323
2,1,8,0.022905,4.2e-05,0.016718,0.004995,0.000468
3,1,16,0.023117,4e-05,0.016734,0.004945,0.000993
4,2,1,0.022837,0.000315,0.017,0.005026,0.000201
5,2,4,0.023247,0.000239,0.017277,0.005041,0.000299
6,2,8,0.023593,0.000281,0.016972,0.005028,0.000415
7,2,16,0.02422,0.000237,0.017091,0.005049,0.000902
8,4,1,0.023269,0.000537,0.017029,0.005047,0.000199
9,4,4,0.023231,0.000471,0.01646,0.005018,0.000294
10,4,8,0.023982,0.000519,0.017,0.005034,0.00041
11,4,16,0.023683,0.000472,0.016858,0.005029,0.000617
12,6,1,0.030364,0.000725,0.021797,0.005038,0.0002
13,6,4,0.030225,0.000731,0.023085,0.005047,0.000292
14,6,8,0.030026,0.000829,0.022261,0.005011,0.000401
15,6,16,0.030337,0.000735,0.021825,0.005009,0.000612
16,8,1,0.03338,0.002266,0.022192,0.005042,0.000201
17,8,4,0.032741,0.002227,0.021687,0.005035,0.000287
18,8,8,0.032482,0.002194,0.019837,0.005027,0.000388
19,8,16,0.031665,0.002085,0.019649,0.005045,0.000617
