,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,391,1,0.192641,0.000739,0.120846,0.070205,0.003538
1,256,391,4,0.191844,0.000653,0.119756,0.070356,0.001889
2,256,391,8,0.187375,0.000712,0.115438,0.070188,0.001479
3,256,391,16,0.186818,0.000703,0.115614,0.069545,0.001568
4,512,196,1,0.193553,0.000726,0.121319,0.070468,0.003574
5,512,196,4,0.191208,0.000673,0.118937,0.070396,0.001938
6,512,196,8,0.187622,0.000713,0.115489,0.070289,0.001578
7,512,196,16,0.187673,0.000723,0.115755,0.070102,0.001633
8,1024,98,1,0.192467,0.000728,0.121311,0.069400,0.003600
9,1024,98,4,0.189723,0.000661,0.118511,0.069447,0.001809
10,1024,98,8,0.187796,0.000714,0.116082,0.069980,0.001592
11,1024,98,16,0.187545,0.000695,0.116705,0.069159,0.001636
