,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,40,1,0.123565,0.000610,0.119543,0.004022,0.000065
1,256,40,4,0.125429,0.000521,0.121286,0.004082,0.000796
2,256,40,8,0.120021,0.000509,0.115851,0.004064,0.000660
3,256,40,16,0.123400,0.000517,0.119244,0.004111,0.000822
4,512,20,1,0.127220,0.000590,0.123073,0.004122,0.000171
5,512,20,4,0.123488,0.000509,0.119293,0.004098,0.000756
6,512,20,8,0.123136,0.000506,0.119045,0.004045,0.000864
7,512,20,16,0.124660,0.000507,0.120511,0.004064,0.000809
8,1024,10,1,0.124628,0.000586,0.120395,0.004163,0.000256
9,1024,10,4,0.123822,0.000521,0.119667,0.004111,0.000778
10,1024,10,8,0.122128,0.000508,0.118000,0.004043,0.000723
11,1024,10,16,0.122818,0.000513,0.118614,0.004136,0.000795
