,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.089467,0.000275,0.021137,0.063039,0.002886
1,1,4,0.087769,0.000274,0.020956,0.062735,0.001867
2,1,8,0.08743,0.000264,0.020999,0.062638,0.00185
3,1,16,0.088366,0.000263,0.020946,0.062767,0.002262
4,2,1,0.093009,0.000849,0.024808,0.062422,0.002851
5,2,4,0.091358,0.000762,0.024083,0.062161,0.001893
6,2,8,0.09269,0.000728,0.024464,0.062877,0.0019
7,2,16,0.09226,0.000619,0.024076,0.062274,0.002484
8,4,1,0.093937,0.001525,0.024301,0.062801,0.002778
9,4,4,0.093528,0.00174,0.024757,0.062724,0.001862
10,4,8,0.094259,0.001624,0.02413,0.062513,0.00187
11,4,16,0.094876,0.001575,0.024309,0.062595,0.002404
12,6,1,0.099845,0.002505,0.024761,0.063504,0.002826
13,6,4,0.097468,0.002433,0.026144,0.063212,0.001764
14,6,8,0.09625,0.00196,0.025316,0.062449,0.001826
15,6,16,0.098316,0.001968,0.026972,0.063235,0.002318
16,8,1,0.108233,0.004028,0.033198,0.062292,0.00272
17,8,4,0.106123,0.003056,0.032568,0.063823,0.001786
18,8,8,0.108054,0.00302,0.029146,0.063203,0.001893
19,8,16,0.10687,0.003245,0.033275,0.062807,0.00236
