,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.077008,0.00027,0.020061,0.053291,0.002036
1,1,4,0.075015,0.000271,0.020073,0.051877,0.001508
2,1,8,0.076244,0.000263,0.020079,0.052819,0.001638
3,1,16,0.076794,0.000267,0.020099,0.052545,0.001668
4,2,1,0.080717,0.000611,0.023437,0.052667,0.00207
5,2,4,0.080322,0.000743,0.023356,0.052575,0.001508
6,2,8,0.079632,0.000746,0.022974,0.052937,0.001578
7,2,16,0.080921,0.000607,0.022942,0.052428,0.002124
8,4,1,0.082085,0.001176,0.023474,0.052794,0.002069
9,4,4,0.080887,0.001287,0.023643,0.053161,0.001377
10,4,8,0.080547,0.001522,0.02373,0.052631,0.001484
11,4,16,0.082199,0.001837,0.023421,0.052623,0.002037
12,6,1,0.087955,0.001949,0.024533,0.053676,0.002074
13,6,4,0.086347,0.002141,0.02541,0.053308,0.001405
14,6,8,0.086318,0.002099,0.025666,0.053074,0.001551
15,6,16,0.086804,0.001991,0.024081,0.052487,0.00196
16,8,1,0.096597,0.003375,0.03094,0.053408,0.002001
17,8,4,0.094936,0.002631,0.029496,0.05265,0.001404
18,8,8,0.097851,0.005168,0.029739,0.053812,0.00142
19,8,16,0.097021,0.004009,0.032344,0.053325,0.001493
