,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,1.167605,0.001245,0.024607,1.024427,0.075676
1,1,4,1.121268,0.001243,0.024379,1.025084,0.028737
2,1,8,1.118743,0.001239,0.024502,1.028586,0.021385
3,1,16,1.109923,0.001241,0.024501,1.020945,0.021011
4,2,1,1.179687,0.002204,0.029849,1.028597,0.076326
5,2,4,1.131731,0.002201,0.030495,1.027955,0.02864
6,2,8,1.120599,0.00218,0.029206,1.024983,0.021266
7,2,16,1.129684,0.002145,0.030613,1.030604,0.021236
8,4,1,1.185191,0.003953,0.035508,1.025627,0.075866
9,4,4,1.139413,0.003774,0.033225,1.027414,0.028641
10,4,8,1.132286,0.003855,0.036465,1.028118,0.02132
11,4,16,1.135647,0.003945,0.032753,1.027409,0.020867
12,6,1,1.18912,0.005291,0.033459,1.030303,0.075585
13,6,4,1.140449,0.005353,0.03185,1.025941,0.028686
14,6,8,1.139493,0.004797,0.033512,1.035814,0.021322
15,6,16,1.127552,0.004672,0.033195,1.025155,0.020887
16,8,1,1.195703,0.006946,0.03509,1.020539,0.076088
17,8,4,1.151638,0.013592,0.036491,1.023594,0.028754
18,8,8,1.144722,0.012704,0.038238,1.026777,0.021374
19,8,16,1.145153,0.011649,0.031507,1.028505,0.020772
