,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,40,1,0.127333,0.000605,0.123250,0.004062,0.000104
1,256,40,4,0.126837,0.000534,0.122735,0.004061,0.000714
2,256,40,8,0.127109,0.000529,0.122978,0.004065,0.000761
3,256,40,16,0.131500,0.000545,0.127312,0.004167,0.000896
4,512,20,1,0.134667,0.000584,0.130429,0.004119,0.000310
5,512,20,4,0.131021,0.000545,0.126792,0.004125,0.000708
6,512,20,8,0.125111,0.000534,0.121022,0.004022,0.000822
7,512,20,16,0.126468,0.000522,0.122319,0.004064,0.000851
8,1024,10,1,0.127372,0.000576,0.123326,0.004023,0.000279
9,1024,10,4,0.131915,0.000530,0.127787,0.004085,0.000766
10,1024,10,8,0.129889,0.000564,0.125733,0.004111,0.000778
11,1024,10,16,0.128130,0.000531,0.123913,0.004152,0.000783
