,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,3907,1,1.326,0.001761,0.177,1.098,0.057
1,256,3907,4,1.281,0.00164,0.143,1.082,0.022
2,256,3907,8,1.274,0.001698,0.134,1.088,0.017
3,256,3907,16,1.269,0.001869,0.135,1.082,0.016
4,512,1954,1,1.316,0.001849,0.178,1.085,0.057
5,512,1954,4,1.279,0.001656,0.143,1.084,0.022
6,512,1954,8,1.271,0.001691,0.136,1.077,0.017
7,512,1954,16,1.277,0.001697,0.135,1.091,0.016
8,1024,977,1,1.306,0.001751,0.178,1.069,0.057
9,1024,977,4,1.275,0.001669,0.143,1.09,0.022
10,1024,977,8,1.283,0.001733,0.14,1.094,0.017
11,1024,977,16,1.27,0.001677,0.134,1.082,0.016
