,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,1.265083,0.00121,0.02435,1.146783,0.059493
1,1,4,1.227814,0.001224,0.024111,1.144378,0.023699
2,1,8,1.224115,0.00122,0.024212,1.145849,0.018454
3,1,16,1.224148,0.00124,0.024218,1.145808,0.017895
4,2,1,1.267168,0.002257,0.028495,1.143048,0.060141
5,2,4,1.232735,0.002161,0.028837,1.143384,0.023678
6,2,8,1.238149,0.002212,0.02764,1.153561,0.018437
7,2,16,1.226597,0.002221,0.029157,1.141571,0.017998
8,4,1,1.284133,0.00385,0.033784,1.149112,0.060169
9,4,4,1.240748,0.003734,0.03598,1.143819,0.023701
10,4,8,1.247939,0.00401,0.036541,1.150332,0.018033
11,4,16,1.238359,0.003829,0.035137,1.144349,0.017606
12,6,1,1.277792,0.005138,0.031086,1.143184,0.059652
13,6,4,1.241337,0.004402,0.029832,1.144149,0.0237
14,6,8,1.23312,0.004534,0.032252,1.139033,0.018396
15,6,16,1.236427,0.004777,0.032642,1.142094,0.018426
16,8,1,1.301096,0.009221,0.036013,1.152228,0.059852
17,8,4,1.258611,0.010369,0.03739,1.145154,0.023708
18,8,8,1.253057,0.010322,0.035759,1.147977,0.018294
19,8,16,1.256726,0.011597,0.033521,1.147752,0.018092
