,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.020497,4e-05,0.016031,0.004167,0.000152
1,1,4,0.020778,3.9e-05,0.016092,0.004075,0.000375
2,1,8,0.020853,4.3e-05,0.016065,0.003961,0.00043
3,1,16,0.021619,4.2e-05,0.016014,0.004022,0.000843
4,2,1,0.021726,0.000356,0.016875,0.004155,0.000153
5,2,4,0.021972,0.000233,0.016998,0.004158,0.000429
6,2,8,0.021969,0.000263,0.016398,0.004151,0.000612
7,2,16,0.022104,0.000223,0.016732,0.004152,0.00062
8,4,1,0.0222,0.000537,0.016596,0.004148,0.000153
9,4,4,0.021897,0.00054,0.016186,0.004161,0.000272
10,4,8,0.02237,0.000502,0.016973,0.004147,0.000379
11,4,16,0.022852,0.000488,0.016821,0.004164,0.000621
12,6,1,0.028551,0.000846,0.022371,0.004169,0.000154
13,6,4,0.028556,0.00072,0.021556,0.004153,0.000264
14,6,8,0.028572,0.000739,0.021322,0.004159,0.00039
15,6,16,0.029424,0.000707,0.021276,0.004174,0.000598
16,8,1,0.032584,0.001982,0.020973,0.004159,0.000155
17,8,4,0.030546,0.001938,0.021612,0.004177,0.000272
18,8,8,0.030876,0.002042,0.020897,0.004166,0.000379
19,8,16,0.030989,0.002449,0.020329,0.004158,0.000602
