,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,3907,1,1.314,0.00177,0.18,1.082,0.057
1,256,3907,4,1.269,0.001639,0.142,1.08,0.022
2,256,3907,8,1.261,0.001687,0.136,1.078,0.017
3,256,3907,16,1.258,0.001788,0.135,1.079,0.017
4,512,1954,1,1.332,0.001828,0.18,1.088,0.057
5,512,1954,4,1.262,0.001626,0.144,1.077,0.022
6,512,1954,8,1.264,0.001671,0.138,1.079,0.017
7,512,1954,16,1.266,0.001654,0.135,1.08,0.016
8,1024,977,1,1.3,0.001828,0.181,1.076,0.058
9,1024,977,4,1.269,0.001636,0.144,1.078,0.022
10,1024,977,8,1.265,0.001695,0.138,1.078,0.017
11,1024,977,16,1.262,0.001695,0.134,1.077,0.016
