,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.075762,0.000279,0.020049,0.052059,0.002059
1,1,4,0.075025,0.000269,0.020099,0.051824,0.001568
2,1,8,0.075132,0.000272,0.020037,0.051905,0.001534
3,1,16,0.075821,0.000263,0.020042,0.052065,0.00233
4,2,1,0.080493,0.000708,0.023748,0.051915,0.002066
5,2,4,0.07943,0.000729,0.023305,0.05183,0.001503
6,2,8,0.07894,0.000757,0.022933,0.051784,0.001591
7,2,16,0.07998,0.000652,0.023661,0.051669,0.00215
8,4,1,0.083341,0.001295,0.024442,0.052144,0.002067
9,4,4,0.081502,0.001537,0.024476,0.051816,0.001423
10,4,8,0.080652,0.001419,0.023704,0.052049,0.001509
11,4,16,0.081366,0.001127,0.023544,0.051933,0.002231
12,6,1,0.0866,0.001976,0.026597,0.052521,0.002063
13,6,4,0.084759,0.002156,0.024341,0.051832,0.001528
14,6,8,0.08544,0.001988,0.026947,0.051886,0.001354
15,6,16,0.086798,0.001992,0.025024,0.052492,0.001922
16,8,1,0.095795,0.003781,0.029228,0.052442,0.002025
17,8,4,0.096105,0.003575,0.033418,0.052406,0.001432
18,8,8,0.095129,0.003618,0.031551,0.052695,0.001233
19,8,16,0.094058,0.003839,0.032812,0.052046,0.00198
