,threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
0,256,3907,1,1.533851,0.002033,0.220340,1.269851,0.091319
1,256,3907,4,1.485120,0.001879,0.163060,1.277700,0.033720
2,256,3907,8,1.468918,0.002000,0.154694,1.270245,0.025980
3,256,3907,16,1.474500,0.002003,0.152348,1.278565,0.024761
4,512,1954,1,1.542477,0.002038,0.222295,1.275909,0.092818
5,512,1954,4,1.482979,0.001872,0.162333,1.276750,0.034479
6,512,1954,8,1.476174,0.002016,0.152130,1.280239,0.025826
7,512,1954,16,1.477256,0.002056,0.151326,1.281907,0.023977
8,1024,977,1,1.542778,0.002062,0.222689,1.275267,0.092622
9,1024,977,4,1.487468,0.001878,0.162660,1.280745,0.033362
10,1024,977,8,1.488333,0.002037,0.153689,1.290467,0.025778
11,1024,977,16,1.474600,0.002064,0.152644,1.276933,0.025000
