,processes,omp_threads,total time,comm time,binary search,tree creation,tree linearization
0,1,1,0.020705,3.9e-05,0.016212,0.004169,0.000171
1,1,4,0.02103,3.9e-05,0.016324,0.003975,0.000298
2,1,8,0.021375,4e-05,0.016269,0.00407,0.000637
3,1,16,0.02167,4.1e-05,0.016264,0.004042,0.001039
4,2,1,0.021793,0.000303,0.016926,0.004171,0.000173
5,2,4,0.02232,0.00034,0.017066,0.004172,0.000387
6,2,8,0.022526,0.000318,0.01694,0.00418,0.000733
7,2,16,0.022014,0.000272,0.016619,0.004173,0.000812
8,4,1,0.02167,0.000499,0.016686,0.004171,0.000172
9,4,4,0.022031,0.000481,0.016656,0.004173,0.000282
10,4,8,0.022263,0.000555,0.016724,0.004168,0.000498
11,4,16,0.022958,0.000514,0.016867,0.004179,0.000621
12,6,1,0.028841,0.000698,0.022746,0.004183,0.000169
13,6,4,0.027874,0.000746,0.021731,0.004169,0.000279
14,6,8,0.028422,0.00073,0.020765,0.004179,0.000386
15,6,16,0.028931,0.000733,0.022166,0.004179,0.000611
16,8,1,0.031543,0.002132,0.019159,0.004177,0.00017
17,8,4,0.031359,0.002002,0.02022,0.004163,0.000274
18,8,8,0.031021,0.001912,0.020736,0.004186,0.000381
19,8,16,0.03226,0.002487,0.019894,0.004181,0.000612
